"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"112031331",2019,0,0,0,0,0,2,0,Parada de Gatim
"112031335",2019,5,0,8,3,5,28,0,Pico
"112031337",2019,0,0,2,1,1,2,0,Ponte
"112031340",2019,0,0,0,3,0,7,0,Sabariz
"112031342",2019,0,0,2,16,0,16,0,Vila de Prado
"112031350",2019,2,0,4,0,0,4,0,Prado (São Miguel)
"112031352",2019,0,0,4,3,2,7,0,Soutelo
"112031354",2019,0,0,4,0,61,8,0,Turiz
"112031355",2019,1,0,3,0,3,4,0,Valdreu
"112031359",2019,0,0,0,0,1,4,0,Aboim da Nóbrega e Gondomar
"112031360",2019,1,2,12,14,4,35,0,União das freguesias da Ribeira do Neiva
"112031361",2019,0,0,0,0,0,4,0,União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago)
"112031362",2019,3,0,5,4,2,7,0,União das freguesias de Escariz (São Mamede) e Escariz (São Martinho)
"112031363",2019,5,0,5,6,0,8,0,"União das freguesias de Esqueiros, Nevogilde e Travassós"
"112031364",2019,0,4,1,0,2,65,0,União das freguesias de Marrancos e Arcozelo
"112031365",2019,0,0,0,0,0,10,0,União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel)
"112031366",2019,3,0,23,6,1,29,0,"União das freguesias de Pico de Regalados, Gondiães e Mós"
"112031367",2019,1,0,4,4,1,9,0,"União das freguesias de Sande, Vilarinho, Barros e Gomide"
"112031368",2019,3,0,1,0,0,16,0,"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)"
"112031369",2019,4,0,4,5,5,22,0,União das freguesias do Vade
"112031370",2019,3,0,2,3,1,15,0,Vila Verde e Barbudo
"119030401",2019,0,2,2,0,27,6,0,Abadim
"119030404",2019,0,3,4,0,0,64,0,Basto
"119030405",2019,0,0,0,2,0,1,0,Bucos
"119030406",2019,0,2,3,0,0,5,0,Cabeceiras de Basto
"119030407",2019,1,36,3,2,3,235,0,Cavez
"119030408",2019,6,1,2,3,0,33,0,Faia
"119030413",2019,0,4,4,15,0,45,0,Pedraça
"119030415",2019,0,9,4,0,36,13,0,Rio Douro
"119030418",2019,0,6,4,7,1,72,0,União das freguesias de Alvite e Passos
"119030419",2019,0,7,0,7,0,87,0,União das freguesias de Arco de Baúlhe e Vila Nune
"119030420",2019,0,2,0,0,17,23,0,União das freguesias de Gondiães e Vilar de Cunhas
"119030421",2019,0,1,12,3,7,40,0,"União das freguesias de Refojos de Basto, Outeiro e Painzela"
"119030705",2019,0,0,2,0,0,5,0,Armil
"119030708",2019,0,0,1,3,6,12,0,Estorãos
"119030709",2019,0,0,0,4,2,10,0,Fafe
"119030712",2019,0,0,1,0,0,7,0,Fornelos
"119030714",2019,1,0,1,5,0,9,0,Golães
"119030716",2019,0,0,0,0,0,18,0,Medelo
"119030719",2019,0,0,0,0,0,6,0,Passos
"119030722",2019,0,0,0,0,0,9,0,Quinchães
"119030723",2019,0,0,5,0,0,16,0,Regadas
"119030724",2019,0,0,4,0,1,27,0,Revelhe
