"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops","region_name"
"119031251",1999,90,3,4,401,16,0,0,2,0,23,União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures
"119031252",1999,43,1,2,225,4,0,0,0,1,6,União das freguesias de Avidos e Lagoa
"119031253",1999,46,1,0,145,2,0,0,1,0,4,União das freguesias de Carreira e Bente
"119031254",1999,53,1,4,145,4,0,0,2,0,8,União das freguesias de Esmeriz e Cabeçudos
"119031255",1999,38,4,8,909,16,0,0,3,1,12,"União das freguesias de Gondifelos, Cavalões e Outiz"
"119031256",1999,46,4,0,450,11,0,0,2,3,1,"União das freguesias de Lemenhe, Mouquim e Jesufrei"
"119031257",1999,28,0,2,188,1,0,0,1,2,1,União das freguesias de Ruivães e Novais
"119031258",1999,40,0,0,143,5,0,0,0,0,7,União das freguesias de Seide
"119031259",1999,86,0,2,482,9,0,0,0,0,11,"União das freguesias de Vale (São Cosme), Telhado e Portela"
"119031260",1999,58,1,1,185,9,0,0,4,2,6,União das freguesias de Vila Nova de Famalicão e Calendário
"119031401",1999,52,0,8,92,6,0,0,6,0,0,Santa Eulália
"119031404",1999,21,2,1,26,2,0,0,1,0,1,Infias
