"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops"
"112031350",1999,0,0,3,1,0,12,0
"112031352",1999,0,0,4,0,1,23,0
"112031354",1999,1,0,0,0,1,15,0
"112031355",1999,1,1,1,0,0,26,0
"112031359",1999,0,0,0,0,0,34,0
"112031360",1999,2,4,6,1,6,82,0
"112031361",1999,2,0,0,0,0,25,0
"112031362",1999,3,1,3,1,0,26,0
"112031363",1999,2,0,0,5,0,31,0
"112031364",1999,0,0,1,3,0,34,0
"112031365",1999,1,0,0,0,0,24,0
"112031366",1999,3,1,9,10,2,71,0
"112031367",1999,2,1,0,0,1,36,0
"112031368",1999,0,0,0,0,0,28,0
"112031369",1999,3,0,0,0,2,37,0
"112031370",1999,7,0,3,2,1,35,0
"119030401",1999,0,13,1,0,1,23,0
"119030404",1999,2,5,2,0,0,42,0
"119030405",1999,0,0,0,0,0,13,0
"119030406",1999,0,9,1,1,3,26,0
"119030407",1999,1,18,0,0,0,170,0
"119030408",1999,1,3,2,0,3,60,0
"119030413",1999,0,7,0,0,0,80,0
"119030415",1999,0,23,1,0,3,62,0
"119030418",1999,0,9,1,0,3,62,0
"119030419",1999,1,10,1,0,0,96,0
"119030420",1999,0,15,0,0,5,51,0
"119030421",1999,0,23,1,0,1,108,0
"119030705",1999,0,0,0,0,0,12,0
"119030708",1999,0,0,0,3,0,32,0
"119030709",1999,0,0,0,0,0,20,0
"119030712",1999,0,0,0,0,0,19,0
"119030714",1999,0,0,0,0,0,25,0
"119030716",1999,0,0,0,0,0,12,0
"119030719",1999,0,0,0,0,0,24,0
"119030722",1999,0,1,0,0,0,21,0
"119030723",1999,0,0,0,0,0,14,0
"119030724",1999,0,0,0,0,3,36,0
"119030725",1999,0,0,0,0,0,10,1
"119030726",1999,0,0,0,0,0,13,0
"119030728",1999,0,0,1,0,0,36,3
"119030729",1999,0,0,0,0,0,17,0
"119030730",1999,0,0,0,0,0,37,0
"119030733",1999,0,0,0,0,2,46,0
"119030736",1999,0,0,0,0,0,20,0
"119030737",1999,0,0,0,0,0,30,0
"119030738",1999,2,2,2,0,1,30,0
"119030739",1999,0,0,1,0,0,36,0
"119030740",1999,0,0,0,0,0,18,0
"119030741",1999,0,0,0,0,0,36,0
"119030742",1999,1,1,1,0,0,56,0
"119030743",1999,0,1,0,1,0,51,0
"119030744",1999,0,1,0,0,0,35,0
"119030801",1999,0,0,0,0,0,22,0
"119030804",1999,0,0,0,1,0,7,0
"119030806",1999,0,0,2,0,0,16,0
"119030807",1999,0,0,0,0,0,68,0
"119030808",1999,0,0,1,0,0,10,0
"119030812",1999,1,0,0,3,0,28,0
"119030813",1999,0,0,0,0,0,6,0
"119030815",1999,0,0,0,1,2,38,0
"119030820",1999,0,0,5,0,2,20,0
"119030821",1999,0,0,0,2,0,12,0
"119030823",1999,0,0,0,0,1,33,0
"119030824",1999,0,0,0,0,0,37,0
"119030827",1999,0,0,3,1,0,34,0
"119030828",1999,0,0,1,0,0,19,0
"119030830",1999,1,0,0,0,0,31,0
"119030831",1999,0,0,0,0,0,18,0
"119030832",1999,0,0,0,0,0,31,0
"119030835",1999,0,0,0,0,0,14,0
"119030836",1999,0,0,0,0,0,13,1
"119030837",1999,0,0,6,0,0,21,0
"119030838",1999,1,0,2,0,3,50,0
"119030840",1999,0,0,2,0,4,20,0
"119030842",1999,0,0,0,0,0,6,0
"119030850",1999,0,0,0,0,0,6,0
"119030854",1999,0,0,0,0,0,18,0
"119030857",1999,0,0,0,0,0,15,0
"119030858",1999,1,0,1,10,0,44,0
"119030865",1999,0,0,1,0,10,113,0
"119030866",1999,0,0,1,0,0,37,0
"119030868",1999,1,0,2,5,2,25,0
"119030871",1999,0,0,1,0,0,20,0
"119030875",1999,2,1,3,1,1,31,0
"119030876",1999,1,0,1,1,0,37,0
"119030877",1999,1,3,1,0,2,22,0
"119030878",1999,0,0,1,1,3,72,0
"119030879",1999,0,0,0,0,0,24,0
"119030880",1999,1,0,1,31,0,46,0
"119030881",1999,0,0,1,0,0,13,0
"119030882",1999,0,0,2,0,0,26,0
"119030883",1999,3,0,2,0,0,43,0
"119030884",1999,0,0,0,0,0,0,0
"119030885",1999,0,0,1,0,0,6,0
"119030886",1999,1,0,6,1,2,34,0
"119030887",1999,0,0,8,2,1,45,0
"119030888",1999,1,0,1,0,0,23,0
"119030889",1999,1,0,1,0,1,27,0
"119030890",1999,1,0,1,0,5,70,0
"119030891",1999,0,0,2,0,0,30,0
"119030906",1999,0,0,0,0,0,15,0
"119030908",1999,0,0,0,0,0,51,1
"119030912",1999,0,0,0,0,0,4,0
"119030913",1999,0,0,2,0,0,12,0
"119030914",1999,1,2,1,0,0,70,1
"119030915",1999,0,1,0,0,2,28,1
"119030917",1999,0,3,3,0,0,13,0
"119030919",1999,1,0,0,1,0,11,0
"119030921",1999,0,6,0,0,1,32,0
"119030922",1999,0,0,0,0,0,22,0
"119030923",1999,2,0,4,2,0,11,0
"119030924",1999,0,2,0,0,0,21,0
"119030925",1999,0,8,0,0,0,24,0
"119030926",1999,1,0,0,0,0,13,0
"119030927",1999,0,2,0,0,0,11,0
